timestamp,q10,q50,q90
2012-12-25 00:00:00,0.0,3.0,55.5
2012-12-25 01:00:00,0.0,8.2,35.3
2012-12-25 02:00:00,0.0,3.8,31.3
2012-12-25 03:00:00,0.0,2.2,14.6
2012-12-25 04:00:00,1.0,4.5,8.0
2012-12-25 05:00:00,0.0,6.8,24.7
2012-12-25 06:00:00,0.0,12.8,58.4
2012-12-25 07:00:00,0.0,22.5,177.4
2012-12-25 08:00:00,0.0,49.5,323.7
2012-12-25 09:00:00,0.0,63.8,184.6
2012-12-25 10:00:00,0.0,77.2,160.9
2012-12-25 11:00:00,0.0,93.0,201.5
2012-12-25 12:00:00,0.0,101.2,239.1
2012-12-25 13:00:00,0.0,52.5,177.6
2012-12-25 14:00:00,0.0,34.5,146.0
2012-12-25 15:00:00,0.0,24.8,153.8
2012-12-25 16:00:00,0.0,24.8,193.5
2012-12-25 17:00:00,0.0,19.5,175.4
2012-12-25 18:00:00,0.0,19.5,175.4
2012-12-25 19:00:00,0.0,13.5,206.5
2012-12-25 20:00:00,0.0,17.2,104.2
2012-12-25 21:00:00,0.0,16.5,98.2
2012-12-25 22:00:00,0.0,9.0,85.1
2012-12-25 23:00:00,0.0,8.2,62.2
2012-12-26 00:00:00,16.2,31.8,47.3
2012-12-26 01:00:00,9.7,17.1,24.5
2012-12-26 02:00:00,0.0,6.1,28.2
2012-12-26 03:00:00,0.0,5.5,15.4
2012-12-26 04:00:00,4.2,7.0,9.8
2012-12-26 05:00:00,10.9,28.0,45.1
2012-12-26 06:00:00,58.8,102.6,146.4
2012-12-26 07:00:00,0.0,103.5,311.4
2012-12-26 08:00:00,0.0,195.6,561.9
2012-12-26 09:00:00,0.0,97.2,240.2
2012-12-26 10:00:00,4.1,52.2,100.3
2012-12-26 11:00:00,0.0,62.8,134.3
2012-12-26 12:00:00,0.0,126.1,261.2
2012-12-26 13:00:00,16.7,80.5,144.4
2012-12-26 14:00:00,8.0,69.1,130.3
2012-12-26 15:00:00,14.5,72.7,131.0
2012-12-26 16:00:00,0.0,137.6,284.8
2012-12-26 17:00:00,0.0,147.1,326.4
2012-12-26 18:00:00,0.0,130.8,327.4
2012-12-26 19:00:00,0.0,105.5,343.4
2012-12-26 20:00:00,0.0,60.4,150.9
2012-12-26 21:00:00,104.9,165.0,225.1
2012-12-26 22:00:00,0.0,30.7,115.7
2012-12-26 23:00:00,0.0,26.4,80.3
